"O","H","L","C","V","T","BV","market"
11400,11479.592,11383.60000001,11425,78.87009929,"2018-01-29T10:00:00",902247.11855652,"USDT-BTC"
11425,11442.99999987,11142,11217,339.26831945,"2018-01-29T11:00:00",3851109.63522353,"USDT-BTC"
11217,11366.99999999,11217,11249.1,151.12688556,"2018-01-29T12:00:00",1705103.80182525,"USDT-BTC"
11240.00000001,11383.67299999,11222.3,11376,89.02643644,"2018-01-29T13:00:00",1006812.17804248,"USDT-BTC"
11367,11419.964,11300,11362,94.11528784,"2018-01-29T14:00:00",1070681.6886456,"USDT-BTC"
11362,11420,11275,11420,84.23007409,"2018-01-29T15:00:00",956491.66397307,"USDT-BTC"
11420,11500,11305,11385,115.8959732,"2018-01-29T16:00:00",1323923.67209393,"USDT-BTC"
11385,11500,11372,11402.00000003,95.93132363,"2018-01-29T17:00:00",1096818.37370283,"USDT-BTC"
11465.99084414,11465.99084414,11333,11390.381,79.15209098,"2018-01-29T18:00:00",899921.35506803,"USDT-BTC"
11390.381,11390.381,11247.61894718,11259,96.19130764,"2018-01-29T19:00:00",1087294.89309834,"USDT-BTC"
11251,11339.49999944,11251,11281,75.04690049,"2018-01-29T20:00:00",846994.01542836,"USDT-BTC"
11281,11361,11250,11348,46.04872759,"2018-01-29T21:00:00",520231.52168537,"USDT-BTC"
11348,11348.42860996,11111,11147.01,152.47980463,"2018-01-29T22:00:00",1710689.23914863,"USDT-BTC"
11148,11308.69999999,11147.01,11297.73999998,84.33132879,"2018-01-29T23:00:00",947155.41752318,"USDT-BTC"
11252,11297.73999999,11172,11260,74.14056656,"2018-01-30T00:00:00",832992.82471933,"USDT-BTC"
11260,11260,10925,10938.07199995,274.55385429,"2018-01-30T01:00:00",3035833.95322424,"USDT-BTC"
10973.99999999,11050,10929,10991.9999999,113.63194143,"2018-01-30T02:00:00",1251308.03204806,"USDT-BTC"
10991.99999997,11014,10831.97836362,10998,191.1571537,"2018-01-30T03:00:00",2088031.62260838,"USDT-BTC"
10995.49459091,11129.99999998,10976.49459091,11035,128.60084428,"2018-01-30T04:00:00",1424280.43321949,"USDT-BTC"
11035,11119,11025,11025,100.6603788,"2018-01-30T05:00:00",1113011.36194939,"USDT-BTC"
11025,11093.18,10980,10981.1,114.31306996,"2018-01-30T06:00:00",1259622.10732054,"USDT-BTC"
10981.30000002,11146.93899999,10935,11146.93899995,119.17804384,"2018-01-30T07:00:00",1311314.98831918,"USDT-BTC"
11146.93899986,11189.99999999,11033.49989999,11115.00000002,73.4114254,"2018-01-30T08:00:00",817324.32383409,"USDT-BTC"
11146.45999999,11146.45999999,10900,10929.77212707,97.2341007,"2018-01-30T09:00:00",1067187.84503383,"USDT-BTC"
10915.10000011,11022.59999999,10878,11000,80.77363931,"2018-01-30T10:00:00",882933.34269989,"USDT-BTC"
11000,11047,10900,11000.00000002,78.82771275,"2018-01-30T11:00:00",865910.16137122,"USDT-BTC"
11000,11085,10896.585,10950,62.1163991,"2018-01-30T12:00:00",682208.29194285,"USDT-BTC"
10950,10950,10500,10531,536.06170685,"2018-01-30T13:00:00",5709507.05508346,"USDT-BTC"
10560,10700,10470.04162417,10561.1,442.21067744,"2018-01-30T14:00:00",4670345.05217184,"USDT-BTC"
10561.1,10593,10223.77905037,10332.00000001,552.13288021,"2018-01-30T15:00:00",5715913.37896899,"USDT-BTC"
10332.10000001,10490,10332.00000001,10419.99999999,170.49919059,"2018-01-30T16:00:00",1774017.0265424,"USDT-BTC"
